Eads,Bader-charge,Ave-O2p-up,Ave-O2p-down,Ave-diff-EN,Ave-diff-IE,BLVE Neighbor 1,BLVE Neighbor 2,BLVE Neighbor 3,BLVE Neighbor 4,BLVE Neighbor 5,Freq Ni,Freq Mg,Freq Cu,Freq Zn
-0.662955955,-1.377625,-1.9937118463227002,-1.8793652327145944,1.876000,5.256800,0.195,1.047,0.175166666666667,1.0445,0.1805,0,2,1,2
-0.774302745,-1.352463,-2.2546975181769358,-2.003748757973565,1.824000,5.607600,1.0665,0.1745,0.192636363636364,1.0495,0.2117,1,2,1,1
-0.582591825,-1.128177,-2.3093265716220275,-2.082995193393799,1.586000,5.592800,0.187363636363636,0.179166666666667,0.182,0.2092,0.2075,2,0,1,2
-0.729094755,-1.303764,-2.0489362044161203,-2.032550109132886,1.824000,5.607600,0.2093,0.17525,0.193,1.063,1.062,1,2,1,1
-0.409146825,-1.314258,-1.8790415200904609,-1.87370792794536,1.824000,5.607600,1.0485,0.193090909090909,1.0505,0.2116,0.179666666666667,1,2,1,1
-0.392019985,-1.310713,-2.1056316605232173,-1.9570829196826198,1.774000,5.941200,0.2135,1.0695,0.175833333333333,0.189818181818182,1.0615,1,2,1,1
-0.648808335,-1.260101,-1.6560158490954358,-1.5603447208744878,1.706000,5.591600,0.174583333333333,1.0675,0.2116,0.17425,0.214909090909091,1,1,1,2
-0.321209355,-1.199651,-2.043191673219382,-1.9588209115890114,1.638000,5.242000,0.17825,0.2086,0.187272727272727,0.191181818181818,1.0595,1,1,2,1
-0.525048975,-1.2009,-2.0091884207408977,-1.9181445343320611,1.706000,5.591600,0.192818181818182,0.189454545454545,0.2092,1.0585,0.17675,1,1,2,1
-0.615329835,-1.329043,-2.00943794864662,-1.861788212046767,1.774000,5.941200,1.0565,0.2042,1.0575,0.179,0.201,1,2,1,1
-0.408573415,-1.314258,-1.8815643071705979,-1.8815264818114539,1.824000,5.607600,1.0485,0.193090909090909,1.0505,0.2116,0.179666666666667,1,2,1,1
-0.396161525,-1.310713,-2.1077108207645936,-1.9613364468531251,1.774000,5.941200,0.2135,1.0695,0.175833333333333,0.189818181818182,1.0615,1,2,1,1
-0.528563545,-1.128177,-2.310922043411289,-2.0825854050309167,1.586000,5.592800,0.187363636363636,0.179166666666667,0.182,0.2092,0.2075,2,0,1,2
-0.314148365,-1.303764,-2.044622497267801,-2.0375717012184644,1.824000,5.607600,0.2093,0.17525,0.193,1.063,1.062,1,2,1,1
-0.522974655,-1.200901,-2.0067824678027195,-1.9138067856673446,1.706000,5.591600,0.192818181818182,0.189454545454545,0.2092,1.0585,0.17675,1,1,2,1
-0.605391015,-1.329043,-2.0083607409046342,-1.8522559930298426,1.774000,5.941200,1.0565,0.2042,1.0575,0.179,0.201,1,2,1,1
-0.630061115,-1.260101,-1.6604128173359871,-1.563426932857293,1.706000,5.591600,0.174583333333333,1.0675,0.2116,0.17425,0.214909090909091,1,1,1,2
-0.361585615,-1.199652,-2.038785289006011,-1.9571529889023955,1.638000,5.242000,0.17825,0.2086,0.187272727272727,0.191181818181818,1.0595,1,1,2,1
-0.490740795,-1.175387,-2.1497041930023406,-1.932517323532072,1.756000,5.258000,0.193909090909091,0.175583333333333,0.17525,0.175583333333333,0.2135,1,0,1,3
-0.548832575,-1.146971,-1.8887175152195705,-1.704416425954809,1.758000,5.240800,0.1775,0.177583333333333,0.190727272727273,0.188636363636364,0.17975,0,0,2,3
-1.004903085,-1.220262,-1.8840746628688743,-1.748145943033487,1.708000,5.574400,0.189272727272727,0.188090909090909,1.052,0.178333333333333,0.198090909090909,0,1,3,1
-0.554020755,-1.272319,-1.827219166764741,-1.7238857216465757,1.808000,4.907200,0.17425,1.0595,0.176666666666667,0.192818181818182,0.184583333333333,0,1,1,3
-0.336662035,-1.253196,-1.9731388375232555,-1.8659948636693258,1.808000,4.907200,0.177083333333333,0.188636363636364,0.174833333333333,0.17925,1.0795,0,1,1,3
-0.423791165,-1.231945,-1.9732750524171976,-1.805084925657927,1.758000,5.240800,0.173,0.178666666666667,0.192636363636364,0.189,1.066,0,1,2,2
